date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:34	25472/25472	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2004:15:00%20GMT	https://wordpressriverthemes.com/HTML/drake/index.html	F:/wordpress/wordpressriverthemes.com/HTML/drake/index.html	(from )
18:03:34	118/118	---M-Z	200	added ('OK')	text/plain	date:Mon,%2020%20Mar%202023%2009:28:55%20GMT	https://wordpressriverthemes.com/robots.txt		(from )
18:03:35	2217/2217	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2015:46:57%20GMT	https://wordpressriverthemes.com/HTML/drake/assets/images/favicon.png	F:/wordpress/wordpressriverthemes.com/HTML/drake/assets/images/favicon.png	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:36	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-wb0UGHttyzbvrSHlFxH4lBgB3g8%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	F:/wordpress/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:36	155800/155800	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Feb%202023%2015:13:20%20GMT	https://wordpressriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	F:/wordpress/wordpressriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:36	3351/3351	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2013:22:10%20GMT	https://wordpressriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	F:/wordpress/wordpressriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:36	1013/1013	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2013:22:10%20GMT	https://wordpressriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	F:/wordpress/wordpressriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:37	57095/57095	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202023%2007:42:47%20GMT	https://wordpressriverthemes.com/HTML/drake/assets/css/animate.min.css	F:/wordpress/wordpressriverthemes.com/HTML/drake/assets/css/animate.min.css	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:37	1717/1717	---MCZ	200	added ('OK')	text/css	date:Sat,%2021%20Jan%202023%2009:00:49%20GMT	https://wordpressriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	F:/wordpress/wordpressriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:37	2532/2532	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Jan%202023%2016:51:45%20GMT	https://wordpressriverthemes.com/HTML/drake/assets/css/lightbox.min.css	F:/wordpress/wordpressriverthemes.com/HTML/drake/assets/css/lightbox.min.css	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:37	33421/33421	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Feb%202023%2004:35:33%20GMT	https://wordpressriverthemes.com/HTML/drake/assets/css/style.css	F:/wordpress/wordpressriverthemes.com/HTML/drake/assets/css/style.css	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:37	5442/5442	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202023%2016:03:33%20GMT	https://wordpressriverthemes.com/HTML/drake/assets/css/responsive.css	F:/wordpress/wordpressriverthemes.com/HTML/drake/assets/css/responsive.css	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:38	25611/25611	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2004:08:10%20GMT	https://wordpressriverthemes.com/HTML/drake/home1.html	F:/wordpress/wordpressriverthemes.com/HTML/drake/home1.html	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:38	25600/25600	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2004:15:01%20GMT	https://wordpressriverthemes.com/HTML/drake/home2.html	F:/wordpress/wordpressriverthemes.com/HTML/drake/home2.html	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:39	25599/25599	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2004:11:19%20GMT	https://wordpressriverthemes.com/HTML/drake/home3.html	F:/wordpress/wordpressriverthemes.com/HTML/drake/home3.html	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:39	25602/25602	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2004:11:42%20GMT	https://wordpressriverthemes.com/HTML/drake/home4.html	F:/wordpress/wordpressriverthemes.com/HTML/drake/home4.html	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:40	25482/25482	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2004:12:17%20GMT	https://wordpressriverthemes.com/HTML/drake/home6.html	F:/wordpress/wordpressriverthemes.com/HTML/drake/home6.html	(from https://wordpressriverthemes.com/HTML/drake/index.html)
18:03:40	25597/25597	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2004:11:54%20GMT	https://wordpressriverthemes.com/HTML/drake/home5.html	F:/wordpress/wordpressriverthemes.com/HTML/drake/home5.html	(from https://wordpressriverthemes.com/HTML/drake/index.html)
